instance_id predicted_score
2475218615076601065 0.0
398316874173557226 0.0
6586402638209028583 0.0
1040996105851528465 0.0
6316278569655873454 0.0
868158305045921978 0.0
5713520501786699854 0.0
932945015407923184 0.0
1919197847086752313 0.0
304887065966615346 0.0
3282556850371665 0.0
8829646398295427742 0.0
3177704368658581090 0.0
331811904131229654 0.0
1529584165704680903 0.0
410957802501821801 0.0
7858701120525579871 0.0
1007593432911733192 0.0
6933421324008829721 0.0
949601458836318592 0.0
1204371563787795352 0.0
6697124581068234934 0.0
7458626674337135052 0.0
6451011837344535814 0.0
4970342844069330588 0.0
1311037283502827477 0.0
5367830782177104937 0.0
130085071580390177 0.0
5277248246761080968 0.0
8248237544078109435 0.0
8160495387552112248 0.0
4990633888389156703 0.0
5367915129338412746 0.0
7166315717760973347 0.0
3922408194130789536 0.0
3198031054131887410 0.0
8381639851093431264 0.0
4196377277000518389 0.0
7216665137006358861 0.0
7657988882068327631 0.0
6580538684502645403 0.0
8285962653536984730 0.0
667595007626814688 0.0
794637447406319981 0.0
1667489879796904413 0.0
7581478598841084967 0.0
272473116112748683 0.0
7616847274036607679 0.0
3090692985891227788 0.0
1497475395995941288 0.0
441294948945551728 0.0
3856621171799337440 0.0
7233013970386906908 0.0
7782462939020585759 0.0
7819341218876328892 0.0
8768374492722589767 0.0
7699672123093034935 0.0
3105846136880438244 0.0
6362992075498435257 0.0
4633007087835435834 0.0
3278116017102114132 0.0
5363866899442970684 0.0
4763880063818181026 0.0
6499417853689436305 0.0
8825197220275291270 0.0
1702555588196061071 0.0
6579068549138521196 0.0
6993939747206748437 0.0
6426886544329476252 0.0
7860426862982048754 0.0
2527297114841298382 0.0
7933313760459159869 0.0
75469955133175158 0.0
7906499375892573021 0.0
297206904225842053 0.0
1277202590313089835 0.0
1897838256899211077 0.0
6554880088483459971 0.0
6235346144393008382 0.0
4934006048075874133 0.0
3434477093176970312 0.0
872629453371620942 0.0
6562540679725413333 0.0
2549347096994045410 0.0
4114531809002228993 0.0
6947254775144460887 0.0
4193769699798080591 0.0
4299012801018800018 0.0
4659062641181513784 0.0
5574367751937642699 0.0
6074037798572199156 0.0
8024877078089305183 0.0
3576745609723701102 0.0
4387536418119078860 0.0
59596392243977340 0.0
2091354043474870892 0.0
